"Data Set","Dataset ID","Tag Category","Tag","Tag ID"
"Expanded 5-minute freeway data","10139","Location","seattle","10007"
"Expanded 5-minute freeway data","10139","Data Type","travel time","154"
"Expanded 5-minute freeway data","10139","Data Type","volume","16"
"Expanded 5-minute freeway data","10139","Facility","freeway","11"
"Expanded 5-minute freeway data","10139","Data Type","occupancy","18"
"Expanded 5-minute freeway data","10139","Data Type","speed","17"
"Probe Data Message","10199","Data Type","roadside equipment (rse)","392"
"Probe Data Message","10199","Data Type","vehicle location","10004"
"Probe Data Message","10199","Facility","all roads","360"
"Probe Data Message","10199","Data Type","probe data message (pdm)","10018"
"Probe Data Message","10199","Frequency","by occurrence","88"
"Freeway Data -  5 Min","10150","Frequency","less than 1 hour","29"
"Freeway Data -  5 Min","10150","Location","san diego","219"
"Freeway Data -  5 Min","10150","Data Type","volume","16"
"Freeway Data -  5 Min","10150","Data Type","loop data","15"
"Freeway Data -  5 Min","10150","Facility","freeway","11"
"Freeway Data -  5 Min","10150","Data Type","occupancy","18"
"Freeway Data -  5 Min","10150","Data Type","speed","17"
"TSSData Tables","10197","Location","seattle","10007"
"TSSData Tables","10197","Facility","all roads","360"
"TSSData Tables","10197","Frequency","less than 1 sec.","10012"
"TSSData Tables","10197","Data Type","live data","10009"
"TMEOutput_QWARNMessage_CV Tables","10195","Location","seattle","10007"
"TMEOutput_QWARNMessage_CV Tables","10195","Data Type","volume","16"
"TMEOutput_QWARNMessage_CV Tables","10195","Data Type","vehicle location","10004"
"TMEOutput_QWARNMessage_CV Tables","10195","Facility","all roads","360"
"TMEOutput_QWARNMessage_CV Tables","10195","Frequency","less than 1 sec.","10012"
"Basic Safety Message","10198","Data Type","roadside equipment (rse)","392"
"Basic Safety Message","10198","Facility","all roads","360"
"Basic Safety Message","10198","Data Type","basic safety message (bsm)","10011"
"Basic Safety Message","10198","Frequency","by occurrence","88"
"Intersection Situation Data","10175","Data Type","roadside equipment (rse)","392"
"Intersection Situation Data","10175","Frequency","less than 1 min.","13"
"Intersection Situation Data","10175","Data Type","signal","128"
"Intersection Situation Data","10175","Facility","arterial","120"
"Intersection Situation Data","10175","Location","detroit","10015"
"04 Hourly Origin-Destinations","10056","Location","pasadena","10005"
"04 Hourly Origin-Destinations","10056","Facility","all roads","360"
"04 Hourly Origin-Destinations","10056","Data Type","location metadata","77"
"04 Hourly Origin-Destinations","10056","Frequency","hourly","61"
"07c Turn Capacity (Plain text format)","10077","Frequency","less than 1 hour","29"
"07c Turn Capacity (Plain text format)","10077","Location","pasadena","10005"
"07c Turn Capacity (Plain text format)","10077","Facility","all roads","360"
"07c Turn Capacity (Plain text format)","10077","Data Type","simulation","817"
"Freeway Incident and Lane Closure Detector Locations","10157","Data Type","incidents","86"
"Freeway Incident and Lane Closure Detector Locations","10157","Location","san diego","219"
"Freeway Incident and Lane Closure Detector Locations","10157","Facility","freeway","11"
"Freeway Incident and Lane Closure Detector Locations","10157","Data Type","location metadata","77"
"Paramics Simulation Data","10097","Data Type","roadside equipment (rse)","392"
"Paramics Simulation Data","10097","Location","michigan test bed","388"
"Paramics Simulation Data","10097","Data Type","vehicle location","10004"
"Paramics Simulation Data","10097","Facility","all roads","360"
"Paramics Simulation Data","10097","Frequency","less than 1 min.","13"
"Paramics Simulation Data","10097","Data Type","speed","17"
"Paramics Simulation Data","10097","Data Type","simulation","817"
"Freeway Loop Data - 20 seconds","10020","Data Type","volume","16"
"Freeway Loop Data - 20 seconds","10020","Data Type","loop data","15"
"Freeway Loop Data - 20 seconds","10020","Facility","freeway","11"
"Freeway Loop Data - 20 seconds","10020","Data Type","occupancy","18"
"Freeway Loop Data - 20 seconds","10020","Frequency","less than 1 min.","13"
"Freeway Loop Data - 20 seconds","10020","Location","portland","9"
"Freeway Loop Data - 20 seconds","10020","Data Type","speed","17"
"Priority Request Server File For Road Side Equipment","10189","Data Type","roadside equipment (rse)","392"
"Priority Request Server File For Road Side Equipment","10189","Facility","all roads","360"
"Priority Request Server File For Road Side Equipment","10189","Frequency","less than 1 min.","13"
"Priority Request Server File For Road Side Equipment","10189","Location","arizona","10017"
"05l Simulated Turn Volumes (VISUM format)","10068","Frequency","less than 1 hour","29"
"05l Simulated Turn Volumes (VISUM format)","10068","Location","pasadena","10005"
"05l Simulated Turn Volumes (VISUM format)","10068","Data Type","volume","16"
"05l Simulated Turn Volumes (VISUM format)","10068","Facility","all roads","360"
"05l Simulated Turn Volumes (VISUM format)","10068","Data Type","simulation","817"
"Original 5-minute freeway data","10138","Frequency","less than 1 hour","29"
"Original 5-minute freeway data","10138","Location","seattle","10007"
"Original 5-minute freeway data","10138","Data Type","volume","16"
"Original 5-minute freeway data","10138","Facility","freeway","11"
"Original 5-minute freeway data","10138","Data Type","occupancy","18"
"02 Census Block Groups","10054","Location","pasadena","10005"
"02 Census Block Groups","10054","Facility","all roads","360"
"02 Census Block Groups","10054","Data Type","location metadata","77"
"02 Census Block Groups","10054","Frequency","static","10006"
"RSE Parsed Data","10049","Data Type","roadside equipment (rse)","392"
"RSE Parsed Data","10049","Data Type","weather","107"
"RSE Parsed Data","10049","Location","michigan test bed","388"
"RSE Parsed Data","10049","Data Type","vehicle location","10004"
"RSE Parsed Data","10049","Facility","all roads","360"
"RSE Parsed Data","10049","Frequency","less than 1 min.","13"
"RSE Parsed Data","10049","Data Type","speed","17"
"RSE Parsed Processed Data","10050","Data Type","roadside equipment (rse)","392"
"RSE Parsed Processed Data","10050","Data Type","weather","107"
"RSE Parsed Processed Data","10050","Location","michigan test bed","388"
"RSE Parsed Processed Data","10050","Data Type","vehicle location","10004"
"RSE Parsed Processed Data","10050","Facility","all roads","360"
"RSE Parsed Processed Data","10050","Frequency","less than 1 min.","13"
"RSE Parsed Processed Data","10050","Data Type","speed","17"
"Map Information for Road Side Equipment","10188","Data Type","roadside equipment (rse)","392"
"Map Information for Road Side Equipment","10188","Facility","all roads","360"
"Map Information for Road Side Equipment","10188","Data Type","location metadata","77"
"Map Information for Road Side Equipment","10188","Frequency","static","10006"
"Map Information for Road Side Equipment","10188","Location","arizona","10017"
"Freeway Detector Configuration","10153","Location","san diego","219"
"Freeway Detector Configuration","10153","Data Type","loop data","15"
"Freeway Detector Configuration","10153","Facility","freeway","11"
"Freeway Detector Configuration","10153","Data Type","location metadata","77"
"VAD data in pcap format","10036","Location","orlando","10003"
"VAD data in pcap format","10036","Facility","freeway","11"
"VAD data in pcap format","10036","Data Type","vehicle location","10004"
"VAD data in pcap format","10036","Facility","all roads","360"
"VAD data in pcap format","10036","Frequency","less than 1 min.","13"
"VAD data in pcap format","10036","Data Type","onboard equipment (obe)","391"
"VAD data in pcap format","10036","Facility","arterial","120"
"OBE Trajectory Files","10040","Location","michigan test bed","388"
"OBE Trajectory Files","10040","Data Type","vehicle location","10004"
"OBE Trajectory Files","10040","Facility","all roads","360"
"OBE Trajectory Files","10040","Frequency","less than 1 min.","13"
"OBE Trajectory Files","10040","Data Type","onboard equipment (obe)","391"
"OBE Trajectory Files","10040","Data Type","speed","17"
"RSE XML Files","10043","Data Type","roadside equipment (rse)","392"
"RSE XML Files","10043","Data Type","weather","107"
"RSE XML Files","10043","Location","michigan test bed","388"
"RSE XML Files","10043","Data Type","vehicle location","10004"
"RSE XML Files","10043","Facility","all roads","360"
"RSE XML Files","10043","Frequency","less than 1 min.","13"
"RSE XML Files","10043","Data Type","speed","17"
"RSE XML Files","10051","Data Type","roadside equipment (rse)","392"
"RSE XML Files","10051","Data Type","weather","107"
"RSE XML Files","10051","Location","michigan test bed","388"
"RSE XML Files","10051","Data Type","vehicle location","10004"
"RSE XML Files","10051","Facility","all roads","360"
"RSE XML Files","10051","Frequency","less than 1 min.","13"
"RSE XML Files","10051","Data Type","speed","17"
"OBE Event","10046","Location","michigan test bed","388"
"OBE Event","10046","Facility","all roads","360"
"OBE Event","10046","Frequency","less than 1 min.","13"
"OBE Event","10046","Data Type","onboard equipment (obe)","391"
"OBE Event","10046","Frequency","by occurrence","88"
"RSE Parsed Data","10041","Data Type","roadside equipment (rse)","392"
"RSE Parsed Data","10041","Data Type","weather","107"
"RSE Parsed Data","10041","Location","michigan test bed","388"
"RSE Parsed Data","10041","Data Type","vehicle location","10004"
"RSE Parsed Data","10041","Facility","all roads","360"
"RSE Parsed Data","10041","Frequency","less than 1 min.","13"
"RSE Parsed Data","10041","Data Type","speed","17"
"Testbed Description","10037","Data Type","roadside equipment (rse)","392"
"Testbed Description","10037","Location","michigan test bed","388"
"Testbed Description","10037","Facility","all roads","360"
"Testbed Description","10037","Data Type","onboard equipment (obe)","391"
"Testbed Description","10037","Data Type","location metadata","77"
"Weather Data","10044","Data Type","weather","107"
"Weather Data","10044","Frequency","less than 1 hour","29"
"Weather Data","10044","Location","michigan test bed","388"
"OBE Event Data","10038","Location","michigan test bed","388"
"OBE Event Data","10038","Facility","all roads","360"
"OBE Event Data","10038","Frequency","less than 1 min.","13"
"OBE Event Data","10038","Data Type","onboard equipment (obe)","391"
"OBE Event Data","10038","Frequency","by occurrence","88"
"Signal Plans for Road Side Equipment","10190","Data Type","roadside equipment (rse)","392"
"Signal Plans for Road Side Equipment","10190","Facility","all roads","360"
"Signal Plans for Road Side Equipment","10190","Data Type","location metadata","77"
"Signal Plans for Road Side Equipment","10190","Data Type","signal","128"
"Signal Plans for Road Side Equipment","10190","Frequency","less than 1 sec.","10012"
"Signal Plans for Road Side Equipment","10190","Location","arizona","10017"
"06b Link Speed (SQL format)","10070","Frequency","less than 1 hour","29"
"06b Link Speed (SQL format)","10070","Location","pasadena","10005"
"06b Link Speed (SQL format)","10070","Facility","all roads","360"
"06b Link Speed (SQL format)","10070","Data Type","speed","17"
"06b Link Speed (SQL format)","10070","Data Type","simulation","817"
"Basic Safety Message","10168","Location","ann arbor, mi","10013"
"Basic Safety Message","10168","Data Type","vehicle location","10004"
"Basic Safety Message","10168","Facility","all roads","360"
"Basic Safety Message","10168","Data Type","onboard equipment (obe)","391"
"Basic Safety Message","10168","Frequency","less than 1 sec.","10012"
"Basic Safety Message","10168","Data Type","speed","17"
"Basic Safety Message","10168","Data Type","basic safety message (bsm)","10011"
"05g Simulated Link Volumes (SQL format)","10063","Frequency","less than 1 hour","29"
"05g Simulated Link Volumes (SQL format)","10063","Location","pasadena","10005"
"05g Simulated Link Volumes (SQL format)","10063","Data Type","volume","16"
"05g Simulated Link Volumes (SQL format)","10063","Facility","all roads","360"
"05g Simulated Link Volumes (SQL format)","10063","Data Type","simulation","817"
"05i Simulated Link Volumes (Plain text format)","10065","Frequency","less than 1 hour","29"
"05i Simulated Link Volumes (Plain text format)","10065","Location","pasadena","10005"
"05i Simulated Link Volumes (Plain text format)","10065","Data Type","volume","16"
"05i Simulated Link Volumes (Plain text format)","10065","Facility","all roads","360"
"05i Simulated Link Volumes (Plain text format)","10065","Data Type","simulation","817"
"Network","10181","Location","ann arbor, mi","10013"
"Basic Safety Message","10178","Location","ann arbor, mi","10013"
"Basic Safety Message","10178","Data Type","vehicle location","10004"
"Basic Safety Message","10178","Facility","all roads","360"
"Basic Safety Message","10178","Data Type","onboard equipment (obe)","391"
"Basic Safety Message","10178","Frequency","less than 1 sec.","10012"
"Basic Safety Message","10178","Data Type","speed","17"
"Basic Safety Message","10178","Data Type","basic safety message (bsm)","10011"
"Freeway Data - Hourly","10151","Location","san diego","219"
"Freeway Data - Hourly","10151","Data Type","volume","16"
"Freeway Data - Hourly","10151","Data Type","loop data","15"
"Freeway Data - Hourly","10151","Facility","freeway","11"
"Freeway Data - Hourly","10151","Data Type","occupancy","18"
"Freeway Data - Hourly","10151","Data Type","speed","17"
"Freeway Data - Hourly","10151","Frequency","hourly","61"
"Grid Map data","10161","Location","san diego","219"
"Grid Map data","10161","Data Type","vehicle location","10004"
"Grid Map data","10161","Facility","all roads","360"
"Grid Map data","10161","Data Type","location metadata","77"
"Grid Map data","10161","Frequency","by occurrence","88"
"GPS Trips - One point per link","10160","Location","san diego","219"
"GPS Trips - One point per link","10160","Data Type","vehicle location","10004"
"GPS Trips - One point per link","10160","Facility","all roads","360"
"GPS Trips - One point per link","10160","Frequency","by occurrence","88"
"Traveler Situation Data","10176","Data Type","roadside equipment (rse)","392"
"Traveler Situation Data","10176","Facility","all roads","360"
"Traveler Situation Data","10176","Frequency","less than 1 min.","13"
"Traveler Situation Data","10176","Location","detroit","10015"
"Providers","10200","Data Type","vehicle location","10004"
"Providers","10200","Facility","all roads","360"
"Providers","10200","Frequency","by occurrence","88"
"Providers","10200","Location","columbus, oh","10019"
"Schedule adherence data","10219","Data Type","travel time","154"
"Schedule adherence data","10219","Facility","all roads","360"
"Schedule adherence data","10219","Frequency","by occurrence","88"
"Schedule adherence data","10219","Location","columbus, oh","10019"
"Schedule adherence data","10219","Data Type","transit","163"
"Queue Length","10177","Frequency","less than 1 min.","13"
"Queue Length","10177","Data Type","signal","128"
"Queue Length","10177","Data Type","queue length","10016"
"Queue Length","10177","Facility","arterial","120"
"Queue Length","10177","Location","detroit","10015"
"archive data","10172","Data Type","vehicle location","10004"
"archive data","10172","Facility","all roads","360"
"archive data","10172","Frequency","less than 1 min.","13"
"archive data","10172","Data Type","onboard equipment (obe)","391"
"archive data","10172","Data Type","speed","17"
"archive data","10172","Data Type","live data","10009"
"archive data","10172","Location","minnesota","10010"
"Lankershim Boulevard","10206","Data Type","vehicle location","10004"
"Lankershim Boulevard","10206","Facility","all roads","360"
"Lankershim Boulevard","10206","Frequency","by occurrence","88"
"Lankershim Boulevard","10206","Location","los angeles, ca","10020"
"Data Acquisition System 1","10166","Location","ann arbor, mi","10013"
"Data Acquisition System 1","10166","Data Type","vehicle location","10004"
"Data Acquisition System 1","10166","Facility","all roads","360"
"Data Acquisition System 1","10166","Data Type","onboard equipment (obe)","391"
"Data Acquisition System 1","10166","Frequency","less than 1 sec.","10012"
"Data Acquisition System 1","10166","Data Type","speed","17"
"06c Link Capacity (Plain text format)","10071","Frequency","less than 1 hour","29"
"06c Link Capacity (Plain text format)","10071","Location","pasadena","10005"
"06c Link Capacity (Plain text format)","10071","Facility","all roads","360"
"06c Link Capacity (Plain text format)","10071","Data Type","simulation","817"
"Basic Safety Message","10185","Data Type","vehicle location","10004"
"Basic Safety Message","10185","Facility","all roads","360"
"Basic Safety Message","10185","Data Type","onboard equipment (obe)","391"
"Basic Safety Message","10185","Frequency","less than 1 sec.","10012"
"Basic Safety Message","10185","Data Type","speed","17"
"Basic Safety Message","10185","Data Type","basic safety message (bsm)","10011"
"Basic Safety Message","10185","Location","arizona","10017"
"Interview data","10216","Facility","all roads","360"
"Interview data","10216","Frequency","by occurrence","88"
"Interview data","10216","Location","columbus, oh","10019"
"Interview data","10216","Data Type","transit","163"
"Freeway Data - Daily","10152","Location","san diego","219"
"Freeway Data - Daily","10152","Data Type","volume","16"
"Freeway Data - Daily","10152","Data Type","loop data","15"
"Freeway Data - Daily","10152","Facility","freeway","11"
"Freeway Data - Daily","10152","Data Type","occupancy","18"
"Freeway Data - Daily","10152","Data Type","speed","17"
"Freeway Data - Daily","10152","Frequency","daily","274"
"Freeway Incidents","10155","Data Type","incidents","86"
"Freeway Incidents","10155","Location","san diego","219"
"Freeway Incidents","10155","Facility","freeway","11"
"Freeway Incidents","10155","Frequency","by occurrence","88"
"Freeway Lane Closures","10156","Location","san diego","219"
"Freeway Lane Closures","10156","Facility","freeway","11"
"Freeway Lane Closures","10156","Data Type","lane closures","337"
"Freeway Lane Closures","10156","Frequency","by occurrence","88"
"Data Acquisition System 1","10179","Location","ann arbor, mi","10013"
"Data Acquisition System 1","10179","Data Type","vehicle location","10004"
"Data Acquisition System 1","10179","Facility","all roads","360"
"Data Acquisition System 1","10179","Data Type","onboard equipment (obe)","391"
"Data Acquisition System 1","10179","Frequency","less than 1 sec.","10012"
"Data Acquisition System 1","10179","Data Type","speed","17"
"Headway data","10214","Data Type","travel time","154"
"Headway data","10214","Facility","all roads","360"
"Headway data","10214","Frequency","by occurrence","88"
"Headway data","10214","Location","columbus, oh","10019"
"Headway data","10214","Data Type","transit","163"
"Variable Message Signs","10144","Frequency","less than 1 hour","29"
"Variable Message Signs","10144","Location","seattle","10007"
"Variable Message Signs","10144","Data Type","travel time","154"
"Variable Message Signs","10144","Facility","freeway","11"
"06a Link Capacity (SQL format)","10069","Frequency","less than 1 hour","29"
"06a Link Capacity (SQL format)","10069","Location","pasadena","10005"
"06a Link Capacity (SQL format)","10069","Facility","all roads","360"
"06a Link Capacity (SQL format)","10069","Data Type","simulation","817"
"GPS","10186","Data Type","vehicle location","10004"
"GPS","10186","Facility","all roads","360"
"GPS","10186","Frequency","less than 1 min.","13"
"GPS","10186","Data Type","speed","17"
"GPS","10186","Location","arizona","10017"
